Epoch: 962/1001, Batch: 29/35, Loss: 1.349807, img_l1_loss: 0.109250, img_pt_c_loss: 0.042847, svg_total_loss: 0.601843, svg_cmd_loss: 0.053995, svg_args_loss: 0.476554, svg_smooth_loss: 0.070950, svg_aux_loss: 0.000344, lr: 0.000143, Step: 33700
Epoch: 964/1001, Batch: 9/35, Loss: 1.191012, img_l1_loss: 0.109356, img_pt_c_loss: 0.037442, svg_total_loss: 0.531859, svg_cmd_loss: 0.023056, svg_args_loss: 0.435631, svg_smooth_loss: 0.071618, svg_aux_loss: 0.001554, lr: 0.000142, Step: 33750
Epoch: 965/1001, Batch: 24/35, Loss: 1.110357, img_l1_loss: 0.103329, img_pt_c_loss: 0.045816, svg_total_loss: 0.488673, svg_cmd_loss: 0.016815, svg_args_loss: 0.402133, svg_smooth_loss: 0.069386, svg_aux_loss: 0.000339, lr: 0.000142, Step: 33800
Epoch: 967/1001, Batch: 4/35, Loss: 1.221238, img_l1_loss: 0.097089, img_pt_c_loss: 0.043671, svg_total_loss: 0.552551, svg_cmd_loss: 0.045626, svg_args_loss: 0.439987, svg_smooth_loss: 0.066188, svg_aux_loss: 0.000751, lr: 0.000141, Step: 33850
Epoch: 968/1001, Batch: 19/35, Loss: 1.001368, img_l1_loss: 0.094418, img_pt_c_loss: 0.042159, svg_total_loss: 0.459313, svg_cmd_loss: 0.016261, svg_args_loss: 0.366196, svg_smooth_loss: 0.076119, svg_aux_loss: 0.000736, lr: 0.000140, Step: 33900
Epoch: 969/1001, Batch: 34/35, Loss: 0.961367, img_l1_loss: 0.071826, img_pt_c_loss: 0.036471, svg_total_loss: 0.435740, svg_cmd_loss: 0.020359, svg_args_loss: 0.348928, svg_smooth_loss: 0.065792, svg_aux_loss: 0.000661, lr: 0.000140, Step: 33950
Epoch: 971/1001, Batch: 14/35, Loss: 1.287080, img_l1_loss: 0.093544, img_pt_c_loss: 0.036726, svg_total_loss: 0.609913, svg_cmd_loss: 0.087705, svg_args_loss: 0.432669, svg_smooth_loss: 0.087623, svg_aux_loss: 0.001915, lr: 0.000139, Step: 34000
Epoch: 972/1001, Batch: 29/35, Loss: 1.111881, img_l1_loss: 0.082257, img_pt_c_loss: 0.038164, svg_total_loss: 0.508356, svg_cmd_loss: 0.043828, svg_args_loss: 0.402207, svg_smooth_loss: 0.061124, svg_aux_loss: 0.001197, lr: 0.000139, Step: 34050
Epoch: 974/1001, Batch: 9/35, Loss: 1.234430, img_l1_loss: 0.092254, img_pt_c_loss: 0.038369, svg_total_loss: 0.565518, svg_cmd_loss: 0.030011, svg_args_loss: 0.440245, svg_smooth_loss: 0.093553, svg_aux_loss: 0.001709, lr: 0.000138, Step: 34100
Epoch: 975/1001, Batch: 24/35, Loss: 1.241931, img_l1_loss: 0.105190, img_pt_c_loss: 0.039272, svg_total_loss: 0.561842, svg_cmd_loss: 0.016028, svg_args_loss: 0.474942, svg_smooth_loss: 0.070089, svg_aux_loss: 0.000783, lr: 0.000137, Step: 34150
